evidence_id,category,environment,commit_sha,collected_at_utc,result,conclusion_file,public_folder
MC-UI-01,Giao diện,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:14:00Z,passed,01-giao-dien/MC-UI-01/conclusion.md,01-giao-dien/MC-UI-01
MC-LOGIC-01,Logic xác thực,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:21:00Z,passed,03-logic-ung-dung/MC-LOGIC-01/conclusion.md,03-logic-ung-dung/MC-LOGIC-01
MC-LOGIC-02,Logic định tuyến AI,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:21:10Z,passed,03-logic-ung-dung/MC-LOGIC-02/conclusion.md,03-logic-ung-dung/MC-LOGIC-02
MC-LOGIC-03,Logic toán học,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:22:00Z,passed,03-logic-ung-dung/MC-LOGIC-03/conclusion.md,03-logic-ung-dung/MC-LOGIC-03
MC-API-01,Backend API,production,unknown-production-artifact,2026-07-12T02:12:28Z,passed,04-backend-api/MC-API-01/conclusion.md,04-backend-api/MC-API-01
MC-API-03,Backend API,production,unknown-production-artifact,2026-07-12T02:22:57Z,passed,04-backend-api/MC-API-03/conclusion.md,04-backend-api/MC-API-03
MC-DB-01,PostgreSQL,production,unknown-production-artifact,2026-07-12T02:12:28Z,passed,05-postgresql/MC-DB-01/conclusion.md,05-postgresql/MC-DB-01
MC-SEC-03,Bảo mật,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:21:30Z,passed,06-bao-mat/MC-SEC-03/conclusion.md,06-bao-mat/MC-SEC-03
MC-MON-04,Phân tích và theo dõi,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:20:40Z,passed,08-phan-tich-theo-doi/MC-MON-04/conclusion.md,08-phan-tich-theo-doi/MC-MON-04
MC-OPS-01,Vận hành GitHub,github,26b21f0d5ef69cb4c87c2f28bd30569f09d1a4b4,2026-07-12T02:22:00Z,passed,09-van-hanh-cap-nhat/MC-OPS-01/conclusion.md,09-van-hanh-cap-nhat/MC-OPS-01
MC-OPS-03,Vận hành DigitalOcean,production,26b21f0d5ef69cb4c87c2f28bd30569f09d1a4b4,2026-07-12T04:46:49Z,inconclusive,09-van-hanh-cap-nhat/MC-OPS-03/conclusion.md,09-van-hanh-cap-nhat/MC-OPS-03
MC-QA-01,Chất lượng backend,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:20:00Z,passed,10-chat-luong-san-pham/MC-QA-01/conclusion.md,10-chat-luong-san-pham/MC-QA-01
MC-QA-02,Chất lượng frontend,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T02:14:35Z,passed,10-chat-luong-san-pham/MC-QA-02/conclusion.md,10-chat-luong-san-pham/MC-QA-02
MC-API-04,OpenAPI contract fuzzing,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T03:07:09Z,failed,04-backend-api/MC-API-04/conclusion.md,04-backend-api/MC-API-04
MC-DB-02,PostgreSQL migration,local_postgres,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T03:10:00Z,passed,05-postgresql/MC-DB-02/conclusion.md,05-postgresql/MC-DB-02
MC-SEC-04,Dependency audit,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T04:51:00Z,passed,06-bao-mat/MC-SEC-04/conclusion.md,06-bao-mat/MC-SEC-04
MC-SEC-05,SAST Python,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T04:53:00Z,failed,06-bao-mat/MC-SEC-05/conclusion.md,06-bao-mat/MC-SEC-05
MC-SEC-06,TLS production,production,26b21f0d5ef69cb4c87c2f28bd30569f09d1a4b4,2026-07-12T04:54:00Z,inconclusive,06-bao-mat/MC-SEC-06/conclusion.md,06-bao-mat/MC-SEC-06
MC-PERF-01,Concurrency atomicity,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T04:50:00Z,passed,07-hieu-nang-mo-rong/MC-PERF-01/conclusion.md,07-hieu-nang-mo-rong/MC-PERF-01
MC-DEP-01,Deployment chain,production,26b21f0d5ef69cb4c87c2f28bd30569f09d1a4b4,2026-07-12T04:46:49Z,passed,09-van-hanh-cap-nhat/MC-DEP-01/conclusion.md,09-van-hanh-cap-nhat/MC-DEP-01
MC-QA-03,Backend full suite coverage,local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T03:15:31Z,passed,10-chat-luong-san-pham/MC-QA-03/conclusion.md,10-chat-luong-san-pham/MC-QA-03
MC-A11Y-01,Accessibility và Lighthouse,production_and_local,5cac5199def7fd960fcf2ab27a02a9fa3cc1f07a,2026-07-12T04:59:00Z,passed,10-chat-luong-san-pham/MC-A11Y-01/conclusion.md,10-chat-luong-san-pham/MC-A11Y-01
